ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",788323,0.0231,0.5413,0.3785,0.0803,603080,0.6994,0.3006,0.0835,0.0227,0.1536,0.0307,0.0062,
"2",765780,-0.0062,0.5692,0.3483,0.0826,609749,0.6936,0.3064,0.1005,0.0436,0.1171,0.037,0.0108,
"3",773981,0.0045,0.4252,0.4993,0.0755,597199,0.7832,0.2168,0.09,0.0249,0.0504,0.039,0.0115,
"4",751582,-0.0246,0.3506,0.5792,0.0702,543081,0.5588,0.4412,0.3519,0.0161,0.0263,0.0532,0.004,
"5",748864,-0.0281,0.3914,0.5217,0.0868,592477,0.817,0.183,0.0639,0.0264,0.0378,0.0435,0.0087,
"6",733943,-0.0475,0.5183,0.3947,0.0869,597036,0.7557,0.2443,0.0713,0.0499,0.0647,0.0485,0.0138,
"7",800395,0.0388,0.8213,0.1218,0.0569,677179,0.6537,0.3463,0.0825,0.0572,0.1778,0.0243,0.0075,
"8",781311,0.014,0.4771,0.4468,0.0761,589342,0.6853,0.3147,0.105,0.0412,0.125,0.0332,0.0133,
"9",774922,0.0057,0.7048,0.2332,0.062,612135,0.4405,0.5595,0.1157,0.1257,0.2883,0.0256,0.0189,
"10",786180,0.0203,0.5125,0.399,0.0884,603411,0.6485,0.3515,0.1079,0.0866,0.1026,0.0412,0.0272,
"Summary",770528,0.0862,0.543,0.3807,0.0763,602469,0.6736,0.3264,0.1146,0.05,0.1165,0.0373,0.0122,
