ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",717754,0,0.3381,0.6292,0.0328,557535,0.66,0.34,0.0323,0.2561,0.0185,0.0311,0.0012,
"2",717755,0,0.3231,0.6483,0.0286,557677,0.6203,0.3797,0.0357,0.3012,0.0228,0.021,0.0015,
"3",717754,0,0.3112,0.6569,0.0318,564281,0.6774,0.3226,0.0307,0.2499,0.0209,0.0211,0.0013,
"4",717754,0,0.1803,0.7896,0.0301,556133,0.8241,0.1759,0.0566,0.077,0.0082,0.0352,0.0009,
"5",717754,0,0.3079,0.6376,0.0545,561187,0.7089,0.2911,0.0528,0.1806,0.0253,0.0327,0.0018,
"6",717754,0,0.285,0.668,0.0469,552286,0.7116,0.2884,0.0538,0.1893,0.0228,0.0216,0.001,
"7",717754,0,0.6409,0.3348,0.0243,568067,0.386,0.614,0.0365,0.5526,0.0154,0.0129,0.001,
"Summary",717754,0,0.3435,0.6209,0.0356,559595,0.6547,0.3453,0.0426,0.259,0.0191,0.025,0.0012,
