ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",717754,0,0.3249,0.6418,0.0332,557483,0.6742,0.3258,0.0326,0.2443,0.0187,0.0279,0.0012,
"2",717754,0,0.2963,0.6707,0.033,558443,0.6592,0.3408,0.0397,0.2545,0.025,0.0223,0.0017,
"3",717755,0,0.2255,0.7411,0.0334,557306,0.7617,0.2383,0.0404,0.1607,0.0116,0.0245,0.001,
"4",717754,0,0.1824,0.7862,0.0314,558762,0.8285,0.1715,0.0466,0.0837,0.0084,0.0312,0.0009,
"5",717754,0,0.2948,0.6514,0.0538,556489,0.712,0.288,0.0664,0.1627,0.0248,0.0365,0.0019,
"6",717754,0,0.4976,0.4599,0.0425,561834,0.5203,0.4797,0.0425,0.3964,0.0254,0.0168,0.001,
"7",717754,0,0.5574,0.4199,0.0227,566849,0.4314,0.5686,0.0303,0.5053,0.0199,0.0163,0.0011,
"Summary",717754,0,0.3435,0.6209,0.0356,559595,0.6547,0.3453,0.0426,0.259,0.0191,0.025,0.0012,
