ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",718653,0.0013,0.2169,0.7491,0.034,558261,0.751,0.249,0.0399,0.1573,0.0201,0.0291,0.0015,
"2",717307,-0.0006,0.5629,0.4125,0.0246,560152,0.4227,0.5773,0.0251,0.513,0.0225,0.0197,0.0011,
"3",717366,-0.0005,0.2877,0.6811,0.0312,560328,0.6835,0.3165,0.0368,0.2396,0.0191,0.0212,0.0014,
"4",719332,0.0022,0.1888,0.7786,0.0326,565044,0.8241,0.1759,0.0492,0.0847,0.0099,0.0305,0.0009,
"5",716844,-0.0013,0.2951,0.6515,0.0534,556251,0.7124,0.2876,0.066,0.163,0.0247,0.0364,0.0019,
"6",716877,-0.0012,0.2343,0.7219,0.0438,556608,0.7757,0.2243,0.0378,0.1427,0.0185,0.0233,0.0009,
"7",717900,0.0002,0.5973,0.3722,0.0304,560522,0.4136,0.5864,0.0435,0.5119,0.0191,0.0151,0.0011,
"Summary",717754,0.0035,0.3435,0.6209,0.0356,559595,0.6547,0.3453,0.0426,0.259,0.0191,0.025,0.0012,
