ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",717754,0,0.3408,0.6462,0.0131,557483,0.6742,0.3258,0.0326,0.2443,0.0187,0.0279,0.0012,
"2",717754,0,0.3195,0.6669,0.0136,558443,0.6592,0.3408,0.0397,0.2545,0.025,0.0223,0.0017,
"3",717755,0,0.2474,0.7401,0.0126,557306,0.7617,0.2383,0.0404,0.1607,0.0116,0.0245,0.001,
"4",717754,0,0.1928,0.7948,0.0124,558762,0.8285,0.1715,0.0466,0.0837,0.0084,0.0312,0.0009,
"5",717754,0,0.3403,0.6399,0.0199,556489,0.712,0.288,0.0664,0.1627,0.0248,0.0365,0.0019,
"6",717754,0,0.5419,0.4418,0.0164,561834,0.5203,0.4797,0.0425,0.3964,0.0254,0.0168,0.001,
"7",717754,0,0.5719,0.4184,0.0097,566849,0.4314,0.5686,0.0303,0.5053,0.0199,0.0163,0.0011,
"Summary",717754,0,0.3657,0.6203,0.014,559595,0.6547,0.3453,0.0426,0.259,0.0191,0.025,0.0012,
