ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",726276,0.0119,0.352,0.6352,0.0128,564302,0.66,0.34,0.032,0.2567,0.0183,0.0309,0.0012,
"2",693466,-0.0338,0.3517,0.6363,0.012,539812,0.6187,0.3813,0.0368,0.306,0.0183,0.0213,0.0015,
"3",735132,0.0242,0.3347,0.6528,0.0125,576455,0.6645,0.3355,0.0309,0.2583,0.0256,0.0206,0.0013,
"4",702982,-0.0206,0.1771,0.8113,0.0116,543423,0.8284,0.1716,0.0573,0.0718,0.0083,0.0352,0.0009,
"5",761102,0.0604,0.3551,0.6247,0.0202,595873,0.7119,0.2881,0.0519,0.1797,0.0246,0.0323,0.0017,
"6",740710,0.032,0.315,0.668,0.017,572838,0.7388,0.2612,0.051,0.1637,0.0235,0.0217,0.0009,
"7",664611,-0.074,0.7067,0.2833,0.01,524463,0.3384,0.6616,0.0378,0.6016,0.014,0.0124,0.0011,
"Summary",717754,0.1344,0.3657,0.6203,0.014,559595,0.6547,0.3453,0.0426,0.259,0.0191,0.025,0.0012,
