ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",765200,0.0001,0.3237,0.6656,0.0107,583150,0.6616,0.3384,0.0677,0.2369,0.0167,0.0195,0.0019,
"2",765202,0.0001,0.5693,0.421,0.0097,589213,0.4171,0.5829,0.0507,0.5022,0.0213,0.0149,0.0022,
"3",764842,-0.0004,0.6387,0.348,0.0133,583514,0.4407,0.5593,0.1242,0.2667,0.1597,0.0167,0.0014,
"4",765962,0.0011,0.6086,0.3815,0.01,590419,0.3962,0.6038,0.0438,0.5353,0.0161,0.0155,0.0012,
"5",765374,0.0003,0.61,0.3799,0.0102,577353,0.3483,0.6517,0.0824,0.5228,0.04,0.0184,0.0013,
"6",765574,0.0006,0.6362,0.3494,0.0145,620082,0.614,0.386,0.0752,0.2065,0.0915,0.0139,0.0014,
"7",765983,0.0011,0.6173,0.3696,0.0131,566888,0.3124,0.6876,0.2264,0.3105,0.1487,0.0219,0.0016,
"8",765660,0.0007,0.3203,0.6693,0.0104,588223,0.6453,0.3547,0.0497,0.2675,0.0234,0.0164,0.0014,
"9",762254,-0.0038,0.2136,0.7738,0.0126,593312,0.8144,0.1856,0.1046,0.0388,0.0147,0.0291,0.001,
"10",765963,0.0011,0.3497,0.6347,0.0156,579420,0.6677,0.3323,0.1364,0.1141,0.0621,0.0216,0.0012,
"11",765941,0.0011,0.6145,0.3702,0.0153,592948,0.4352,0.5648,0.1369,0.3645,0.0483,0.0211,0.0015,
"12",765297,0.0002,0.5666,0.4192,0.0142,590714,0.4725,0.5275,0.0633,0.4195,0.0325,0.0184,0.0032,
"13",764636,-0.0007,0.5919,0.3975,0.0106,583735,0.3908,0.6092,0.0486,0.5305,0.0213,0.0165,0.0013,
"14",764020,-0.0015,0.2662,0.7203,0.0135,581303,0.7669,0.2331,0.061,0.1314,0.0151,0.0252,0.0011,
"Summary",765136,0.0049,0.4951,0.4925,0.0124,587162,0.5282,0.4718,0.0904,0.3173,0.0507,0.0192,0.0015,
