ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",755781,-0.0122,0.4085,0.5641,0.0274,582105,0.5999,0.4001,0.0684,0.2849,0.0303,0.0201,0.003,
"2",673028,-0.1204,0.5504,0.4323,0.0173,518145,0.4135,0.5865,0.0492,0.5112,0.0173,0.0145,0.0021,
"3",763075,-0.0027,0.3268,0.644,0.0291,583475,0.6393,0.3607,0.0552,0.2595,0.0276,0.0205,0.0014,
"4",773761,0.0113,0.7528,0.2227,0.0245,587002,0.2323,0.7677,0.0951,0.6082,0.0624,0.0165,0.0014,
"5",788126,0.03,0.8498,0.119,0.0313,635913,0.3159,0.6841,0.0742,0.5514,0.0556,0.0144,0.0014,
"6",765793,0.0009,0.4682,0.4831,0.0487,589600,0.5811,0.4189,0.1236,0.1446,0.1349,0.0175,0.0013,
"7",859440,0.1233,0.4468,0.5122,0.0409,635791,0.4116,0.5884,0.1888,0.214,0.1789,0.0195,0.0015,
"8",719919,-0.0591,0.3437,0.6338,0.0224,549306,0.5973,0.4027,0.0594,0.3082,0.0217,0.0171,0.0014,
"9",775367,0.0134,0.1939,0.7772,0.0289,603376,0.7809,0.2191,0.1074,0.0685,0.0184,0.0252,0.001,
"10",775012,0.0129,0.3586,0.6118,0.0297,599155,0.6454,0.3546,0.0574,0.2493,0.0306,0.0181,0.0013,
"11",802515,0.0489,0.3532,0.6033,0.0435,622759,0.6503,0.3497,0.1087,0.1757,0.0433,0.0223,0.0013,
"12",738624,-0.0347,0.407,0.5686,0.0244,565091,0.5554,0.4446,0.0574,0.3488,0.0258,0.0173,0.0022,
"13",792916,0.0363,0.7103,0.266,0.0237,596630,0.2358,0.7642,0.1042,0.6265,0.0307,0.0177,0.0013,
"14",728551,-0.0478,0.2209,0.7497,0.0293,551926,0.7589,0.2411,0.1001,0.1024,0.0134,0.0282,0.0011,
"Summary",765136,0.2436,0.4589,0.5105,0.0306,587162,0.5282,0.4718,0.0904,0.3173,0.0507,0.0192,0.0015,
