ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",696886,-0.0655,0.3654,0.5617,0.0729,561379,0.7469,0.2531,0.133,0.0207,0.0393,0.0575,0.0058,
"2",713171,-0.0437,0.6904,0.2335,0.0761,577483,0.6935,0.3065,0.1705,0.0248,0.058,0.0544,0.0057,
"3",757647,0.016,0.5299,0.4039,0.0662,587340,0.4675,0.5325,0.2792,0.0771,0.1465,0.0438,0.0115,
"4",762629,0.0227,0.3927,0.5403,0.067,606920,0.7347,0.2653,0.1251,0.0218,0.0762,0.0388,0.0064,
"5",729474,-0.0218,0.6915,0.2429,0.0656,582160,0.4927,0.5073,0.2631,0.0751,0.1425,0.0379,0.0106,
"6",790778,0.0604,0.6915,0.2442,0.0643,602442,0.3739,0.6261,0.2594,0.1417,0.2008,0.0386,0.0221,
"7",783047,0.05,0.523,0.4086,0.0684,606143,0.512,0.488,0.1617,0.0882,0.2092,0.0322,0.0156,
"8",755132,0.0126,0.3962,0.5474,0.0564,562786,0.4437,0.5563,0.3835,0.0948,0.0514,0.0478,0.0074,
"9",803965,0.0781,0.5655,0.38,0.0545,593077,0.3266,0.6734,0.3634,0.1083,0.1893,0.0376,0.0127,
"10",768393,0.0304,0.4854,0.4554,0.0592,568639,0.4105,0.5895,0.4094,0.0441,0.1088,0.0433,0.014,
"11",769346,0.0317,0.7156,0.2263,0.0581,599927,0.4419,0.5581,0.2558,0.096,0.1898,0.0279,0.0095,
"12",771908,0.0351,0.8619,0.0869,0.0513,674401,0.4252,0.5748,0.1416,0.0659,0.354,0.0197,0.0074,
"13",781923,0.0485,0.8736,0.068,0.0584,638708,0.3479,0.6521,0.2122,0.1783,0.2513,0.0305,0.0095,
"14",747565,0.0025,0.7691,0.1821,0.0487,602176,0.3324,0.6676,0.2235,0.0361,0.3879,0.0209,0.0172,
"15",796235,0.0677,0.6993,0.2418,0.0589,614112,0.2986,0.7014,0.2145,0.064,0.4058,0.0247,0.018,
"16",748094,0.0032,0.5796,0.3637,0.0568,529888,0.2316,0.7684,0.5868,0.0649,0.1043,0.0526,0.005,
"17",784218,0.0516,0.7389,0.205,0.0561,620897,0.2159,0.7841,0.1431,0.0255,0.6066,0.0156,0.0079,
"18",750668,0.0066,0.7343,0.2021,0.0636,592186,0.5141,0.4859,0.1537,0.0263,0.2878,0.0196,0.0072,
"19",749863,0.0055,0.7292,0.2149,0.0559,587742,0.2572,0.7428,0.3606,0.0379,0.3368,0.0337,0.008,
"20",741167,-0.0061,0.7035,0.2322,0.0642,569289,0.3809,0.6191,0.4958,0.029,0.0795,0.0451,0.0079,
"21",685379,-0.0809,0.5522,0.3969,0.0509,498068,0.1759,0.8241,0.7194,0.0471,0.0482,0.038,0.0036,
"22",790352,0.0598,0.426,0.5209,0.0531,574658,0.3908,0.6092,0.4481,0.0376,0.1057,0.0381,0.004,
"23",769333,0.0317,0.3607,0.5813,0.058,568994,0.4414,0.5586,0.3867,0.0748,0.0717,0.0458,0.0046,
"24",735563,-0.0136,0.567,0.3648,0.0682,590734,0.5503,0.4497,0.3318,0.025,0.0716,0.0377,0.0046,
"25",756300,0.0142,0.5032,0.4365,0.0603,570285,0.4007,0.5993,0.387,0.0932,0.1077,0.0341,0.005,
"26",722832,-0.0307,0.5786,0.3602,0.0612,558326,0.4484,0.5516,0.4173,0.0269,0.0928,0.0378,0.0053,
"27",710792,-0.0468,0.66,0.2835,0.0565,581130,0.2647,0.7353,0.2586,0.0498,0.425,0.0229,0.0039,
"28",714774,-0.0415,0.7214,0.2233,0.0553,608097,0.57,0.43,0.2246,0.0422,0.1536,0.0211,0.0034,
"29",713637,-0.043,0.7774,0.168,0.0546,554961,0.2148,0.7852,0.6314,0.0511,0.1003,0.0376,0.0032,
"30",749559,0.0051,0.6907,0.2566,0.0526,608567,0.504,0.496,0.27,0.0608,0.1561,0.0228,0.0039,
"31",759222,0.0181,0.5769,0.3655,0.0575,564491,0.2617,0.7383,0.5105,0.1162,0.1053,0.0366,0.0063,
"32",707721,-0.051,0.6656,0.2769,0.0575,555716,0.1576,0.8424,0.5812,0.0339,0.2266,0.037,0.0036,
"33",725723,-0.0268,0.6781,0.2648,0.0571,600344,0.641,0.359,0.123,0.0437,0.1749,0.0155,0.0048,
"34",705528,-0.0539,0.8357,0.1072,0.0572,576490,0.1484,0.8516,0.5518,0.0688,0.2304,0.0423,0.0035,
"35",737292,-0.0113,0.6773,0.2696,0.0532,553792,0.1409,0.8591,0.6686,0.0755,0.113,0.0409,0.005,
"36",761992,0.0218,0.5215,0.4342,0.0443,593135,0.4277,0.5723,0.4525,0.0549,0.048,0.0382,0.0044,
"37",725771,-0.0268,0.8569,0.0964,0.0467,590861,0.278,0.722,0.3537,0.2322,0.1313,0.0302,0.0037,
"38",708881,-0.0494,0.6697,0.2741,0.0562,555749,0.1595,0.8405,0.6023,0.0466,0.188,0.0381,0.0066,
"39",734032,-0.0157,0.5147,0.4286,0.0567,582232,0.2865,0.7135,0.3152,0.0303,0.3616,0.0241,0.0054,
"40",693694,-0.0698,0.8225,0.1279,0.0495,508858,0.0492,0.9508,0.859,0.0581,0.0345,0.048,0.0031,
"41",756764,0.0148,0.6097,0.3311,0.0591,558683,0.2276,0.7724,0.5811,0.1048,0.0788,0.0387,0.0067,
"42",809956,0.0861,0.4141,0.5336,0.0523,606134,0.4156,0.5844,0.3647,0.0734,0.1314,0.0339,0.0086,
"43",731371,-0.0192,0.7837,0.1668,0.0495,567118,0.158,0.842,0.442,0.2339,0.1632,0.0323,0.0086,
"44",713506,-0.0432,0.8304,0.1227,0.0469,532713,0.0734,0.9266,0.6782,0.1691,0.0767,0.0402,0.0102,
"45",814934,0.0928,0.4982,0.4441,0.0577,647628,0.4782,0.5218,0.1818,0.0263,0.3013,0.0176,0.0051,
"46",705044,-0.0546,0.6626,0.2789,0.0585,537943,0.1821,0.8179,0.6186,0.0265,0.1666,0.0441,0.0065,
"47",716940,-0.0386,0.6263,0.3102,0.0636,570123,0.3137,0.6863,0.3285,0.0854,0.2612,0.0299,0.0112,
"48",721457,-0.0325,0.4791,0.462,0.0589,589052,0.5493,0.4507,0.1928,0.0184,0.2216,0.0212,0.0067,
"49",751614,0.0079,0.5062,0.4322,0.0616,591727,0.5993,0.4007,0.2442,0.0341,0.1016,0.0276,0.0098,
"50",758783,0.0175,0.3956,0.5457,0.0587,580946,0.5546,0.4454,0.2944,0.0379,0.0874,0.0378,0.0084,
"51",702781,-0.0576,0.7185,0.2279,0.0536,538377,0.1393,0.8607,0.6803,0.0763,0.1037,0.0367,0.0072,
"52",763483,0.0238,0.5811,0.3555,0.0634,621852,0.5626,0.4374,0.138,0.0409,0.24,0.0179,0.0079,
"53",766318,0.0276,0.645,0.2961,0.0589,611626,0.4109,0.5891,0.3155,0.0915,0.1731,0.0283,0.0117,
"Summary",745725,0.1737,0.6226,0.3189,0.0585,581643,0.3787,0.6213,0.3595,0.0681,0.1785,0.0339,0.0077,
