ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"21",685379,-0.0809,0.5438,0.435,0.0212,498068,0.1759,0.8241,0.7194,0.0471,0.0482,0.038,0.0036,
"22",790352,0.0598,0.4626,0.5163,0.0211,574658,0.3908,0.6092,0.4481,0.0376,0.1057,0.0381,0.004,
"23",769333,0.0317,0.4049,0.571,0.0241,568994,0.4414,0.5586,0.3867,0.0748,0.0717,0.0458,0.0046,
"24",735563,-0.0136,0.6072,0.369,0.0238,590734,0.5503,0.4497,0.3318,0.025,0.0716,0.0377,0.0046,
"25",756300,0.0142,0.5395,0.4385,0.0219,570285,0.4007,0.5993,0.387,0.0932,0.1077,0.0341,0.005,
"26",722832,-0.0307,0.6137,0.3649,0.0214,558326,0.4484,0.5516,0.4173,0.0269,0.0928,0.0378,0.0053,
"27",710792,-0.0468,0.6718,0.3083,0.0199,581130,0.2647,0.7353,0.2586,0.0498,0.425,0.0229,0.0039,
"28",714774,-0.0415,0.7089,0.2724,0.0187,608097,0.57,0.43,0.2246,0.0422,0.1536,0.0211,0.0034,
"29",713637,-0.043,0.741,0.2367,0.0224,554961,0.2148,0.7852,0.6314,0.0511,0.1003,0.0376,0.0032,
"30",749559,0.0051,0.687,0.2944,0.0186,608567,0.504,0.496,0.27,0.0608,0.1561,0.0228,0.0039,
"31",759222,0.0181,0.5879,0.389,0.0231,564491,0.2617,0.7383,0.5105,0.1162,0.1053,0.0366,0.0063,
"32",707721,-0.051,0.6516,0.3281,0.0203,555716,0.1576,0.8424,0.5812,0.0339,0.2266,0.037,0.0036,
"33",725723,-0.0268,0.6902,0.2903,0.0195,600344,0.641,0.359,0.123,0.0437,0.1749,0.0155,0.0048,
"34",705528,-0.0539,0.808,0.169,0.023,576490,0.1484,0.8516,0.5518,0.0688,0.2304,0.0423,0.0035,
"35",737292,-0.0113,0.6514,0.3264,0.0222,553792,0.1409,0.8591,0.6686,0.0755,0.113,0.0409,0.005,
"36",761992,0.0218,0.5592,0.4233,0.0175,593135,0.4277,0.5723,0.4525,0.0549,0.048,0.0382,0.0044,
"37",725771,-0.0268,0.8433,0.1383,0.0184,590861,0.278,0.722,0.3537,0.2322,0.1313,0.0302,0.0037,
"38",708881,-0.0494,0.6559,0.3226,0.0216,555749,0.1595,0.8405,0.6023,0.0466,0.188,0.0381,0.0066,
"39",734032,-0.0157,0.5411,0.4395,0.0194,582232,0.2865,0.7135,0.3152,0.0303,0.3616,0.0241,0.0054,
"40",693694,-0.0698,0.7709,0.2061,0.023,508858,0.0492,0.9508,0.859,0.0581,0.0345,0.048,0.0031,
"41",756764,0.0148,0.6168,0.3615,0.0217,558683,0.2276,0.7724,0.5811,0.1048,0.0788,0.0387,0.0067,
"42",809956,0.0861,0.4537,0.5271,0.0192,606134,0.4156,0.5844,0.3647,0.0734,0.1314,0.0339,0.0086,
"43",731371,-0.0192,0.7693,0.2093,0.0214,567118,0.158,0.842,0.442,0.2339,0.1632,0.0323,0.0086,
"44",713506,-0.0432,0.7842,0.1918,0.024,532713,0.0734,0.9266,0.6782,0.1691,0.0767,0.0402,0.0102,
"45",814934,0.0928,0.5461,0.4333,0.0206,647628,0.4782,0.5218,0.1818,0.0263,0.3013,0.0176,0.0051,
"46",705044,-0.0546,0.6428,0.3354,0.0217,537943,0.1821,0.8179,0.6186,0.0265,0.1666,0.0441,0.0065,
"47",716940,-0.0386,0.6244,0.3533,0.0224,570123,0.3137,0.6863,0.3285,0.0854,0.2612,0.0299,0.0112,
"48",721457,-0.0325,0.4975,0.4822,0.0203,589052,0.5493,0.4507,0.1928,0.0184,0.2216,0.0212,0.0067,
"49",751614,0.0079,0.5527,0.4247,0.0227,591727,0.5993,0.4007,0.2442,0.0341,0.1016,0.0276,0.0098,
"50",758783,0.0175,0.4501,0.527,0.023,580946,0.5546,0.4454,0.2944,0.0379,0.0874,0.0378,0.0084,
"51",702781,-0.0576,0.6686,0.3089,0.0226,538377,0.1393,0.8607,0.6803,0.0763,0.1037,0.0367,0.0072,
"52",763483,0.0238,0.6335,0.3424,0.0241,621852,0.5626,0.4374,0.138,0.0409,0.24,0.0179,0.0079,
"53",766318,0.0276,0.6695,0.3088,0.0217,611626,0.4109,0.5891,0.3155,0.0915,0.1731,0.0283,0.0117,
"Summary",745725,0.1737,0.635,0.3433,0.0217,581643,0.3787,0.6213,0.3595,0.0681,0.1785,0.0339,0.0077,
